2018-09-27 11:46:41,615 | WARN  | OFRpc-0          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:41,645 | WARN  | OFRpc-8          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:41,645 | WARN  | OFRpc-8          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:44,613 | WARN  | OFRpc-0          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:44,614 | WARN  | OFRpc-4          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:44,636 | WARN  | OFRpc-5          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:44,636 | WARN  | OFRpc-9          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:47,617 | WARN  | OFRpc-1          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:47,617 | WARN  | OFRpc-3          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:47,635 | WARN  | OFRpc-2          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:47,635 | WARN  | OFRpc-7          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:50,645 | WARN  | OFRpc-6          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:50,645 | WARN  | OFRpc-1          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:50,664 | WARN  | OFRpc-0          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:50,664 | WARN  | OFRpc-4          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:53,615 | WARN  | OFRpc-5          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:53,615 | WARN  | OFRpc-1          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:53,634 | WARN  | OFRpc-3          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:53,634 | WARN  | OFRpc-8          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:56,616 | WARN  | OFRpc-1          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:56,616 | WARN  | OFRpc-2          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:56,636 | WARN  | OFRpc-6          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:56,636 | WARN  | OFRpc-9          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:59,619 | WARN  | OFRpc-1          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:59,619 | WARN  | OFRpc-4          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:46:59,643 | WARN  | OFRpc-7          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:46:59,643 | WARN  | OFRpc-5          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:47:02,607 | WARN  | OFRpc-8          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:47:02,607 | WARN  | OFRpc-3          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:2]] does not support statistics request type : Features
2018-09-27 11:47:02,624 | WARN  | OFRpc-0          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
2018-09-27 11:47:02,624 | WARN  | OFRpc-2          | StatRpcMsgManagerImpl            | 271 - org.opendaylight.openflowplugin.applications.statistics-manager - 0.2.2.Beryllium-SR2 | Node [Uri [_value=openflow:1]] does not support statistics request type : Features
